Year,Month,Day,Avg_Accumulation (mm),Duration (hr),Avg_intensity (mm/hr),occur
1997,November,17,257,6,43,yes
1997,November,19,268,5,53,yes
1997,November,19,289,6,48,yes
1997,November,19,215,4,54,yes
1998,November,16,149,3,50,yes
1998,November,17,180,4,45,yes
2002,April,24,206,5,41,yes
2004,December,23,211,5,42,yes
2004,December,23,320,6,53,yes
2006,November,22,307,7,44,yes
2006,December,20,338,8,42,yes
2006,December,20,316,7,45,yes
2009,January,20,199,5,40,yes
2009,January,20,189,4,47,yes
2010,January,26,160,3,53,yes
2011,November,23,221,6,37,yes
2012,December,21,160,3,53,yes
2014,October,29,306,6,51,yes
2014,October,30,174,4,44,yes
2014,October,30,149,4,37,yes
2014,October,30,189,5,38,yes
2014,October,30,107,3,36,yes
2014,October,30,149,4,37,yes
2017,January,15,139,5.5,25,No
2014,May,16,141,5.6,25,No
2012,November,15,112,4,28,No
2012,June,20,54,2.1,25,No
2011,April,13,130,6,28,No
2010,August,15,73,3,24,No
2006,January,15,140,5,28,No
2006,September,12,130,5,26,No
2014,January,15,109,6,18,No
2014,February,18,90,3,30,No
2000,March,9,88,4,22,No
2001,July,20,52,2,26,No
2000,August,2,74,3,27,No
1998,July,24,50,1.5,33,No
2000,July,22,80,3,27,No
1997,December,9,120,4,30,No
2009,September,4,134,4,31,No
1986,January,10,197,5,39,yes
1986,January,10,205,5,41,yes
1988,December,21,165,4,41,yes
1992,November,16,319,7,46,yes
1992,November,16,305,7,44,yes
1993,December,16,310,6,52,yes
1993,December,17,179,4,45,yes
1993,December,26,198,8,25,yes
1995,April,17,212,4,53,yes
1995,July,24,228,5,46,yes
